Symbol,Name,Industry
ABB,ABB India Limited,Heavy Electrical Equipment
AEGISLOG,AEGIS LOGISTICS LTD.,Oil Marketing & Distribution
AMARAJABAT,AMARA RAJA BATTERIES LTD.,Auto Parts & Equipment
AMBALALSA,AMBALAL SARABHAI ENTERPRISES LTD.,Pharmaceuticals
HDFC,HOUSING DEVELOPMENT FINANCE CORP.LTD.,Housing Finance 
ANDHRAPET,ANDHRA PETROCHEMICALS LTD.,Commodity Chemicals
ANSALAPI,ANSAL PROPERTIES & INFRASTRUCTURE LTD.,Realty
UTIQUE,Utique Enterprises Ltd,Finance (including NBFCs)
ARUNAHTEL,ARUNA HOTELS LTD.,Hotels
BOMDYEING,BOMBAY DYEING & MFG.CO.LTD.,Textiles
ASIANHOTNR,Asian Hotels (North) Limited,Hotels
ATUL,ATUL LTD.,Specialty Chemicals
ATVPR,ATV PROJECTS INDIA LTD.,Construction & Engineering
AUTOLITIND,AUTOLITE (INDIA) LTD.,Auto Parts & Equipment
BAJAJELEC,BAJAJ ELECTRICALS LTD.-$,Household Appliances
BAJAJHIND,Bajaj Hindusthan Sugar Limited,Sugar
FORCEMOT,FORCE MOTORS LTD.-$,Cars & Utility Vehicles
BAJFINANCE,Bajaj Finance Limited,Finance (including NBFCs)
BALRAMCHIN,BALRAMPUR CHINI MILLS LTD.,Sugar
BANCOINDIA,BANCO PRODUCTS (INDIA) LTD.-$,Auto Parts & Equipment
CENTURYTEX,CENTURY TEXTILES & INDUSTRIES LTD.,Cement & Cement Products
BANARISUG,BANNARI AMMAN SUGARS LTD.,Sugar
BASF,BASF INDIA LTD.,Specialty Chemicals
BATAINDIA,BATA INDIA LTD.,Footwear
BEML,BEML LTD.,Commercial Vehicles
BEL,BHARAT ELECTRONICS LTD.,Defence
BEPL,BHANSALI ENGINEERING POLYMERS LTD.-$,Specialty Chemicals
TATASTLBSL,Tata Steel Bsl Ltd,Iron & Steel/Interm.Products
BIHSPONG,BIHAR SPONGE IRON LTD.,Iron & Steel/Interm.Products
BIRLACABLE,Birla Cable Ltd,Other Elect.Equip./ Prod.
BLUESTARCO,BLUE STAR LTD.,Consumer Electronics
DISAQ,DISA INDIA LTD.,Industrial Machinery
BNKCAP,BNK CAPITAL MARKETS LTD.,Other Financial Services
BPL,BPL LTD.,Consumer Electronics
OAL,Oriental Aromatics Ltd-$,Specialty Chemicals
CENTEXT,CENTURY EXTRUSIONS LTD.,Aluminium
CESC,CESC LTD.,Electric Utilities
CHAMBLFERT,CHAMBAL FERTILISERS & CHEMICALS LTD.,Fertilizers
EXIDEIND,EXIDE INDUSTRIES LTD.,Auto Parts & Equipment
CIPLA,CIPLA LTD.,Pharmaceuticals
DICIND,DIC INDIA LTD.,Specialty Chemicals
CRISIL,CRISIL LTD.,Other Financial Services
CGPOWER,CG Power and Industrial Solutions Ltd,Heavy Electrical Equipment
DABUR,DABUR INDIA LTD.,Personal Products
DALMIASUG,Dalmia Bharat Sugar and Industries Ltd,Sugar
ARVIND,ARVIND LTD.,Textiles
BALLARPUR,BALLARPUR INDUSTRIES LTD.,Paper & Paper Products
BHEL,BHARAT HEAVY ELECTRICALS LTD.,Heavy Electrical Equipment
HINDPETRO,HINDUSTAN PETROLEUM CORPORATION LTD.,Refineries/ Petro-Products
IFCI,IFCI LTD.,Financial Institutions
MTNL,MAHANAGAR TELEPHONE NIGAM LTD.,Telecom Services
MRPL,MANGALORE REFINERY & PETROCHEMICALS LTD.,Refineries/ Petro-Products
CHENNPETRO,CHENNAI PETROLEUM CORPORATION LTD.,Refineries/ Petro-Products
RELCAPITAL,RELIANCE CAPITAL LTD.,Finance (including NBFCs)
SBIN,STATE BANK OF INDIA,Banks
SAIL,STEEL AUTHORITY OF INDIA LTD.,Iron & Steel/Interm.Products
TITAN,Titan Company Limited,Other Apparels & Accessories
IDBI,IDBI BANK LTD.,Banks
DCW,DCW LTD.,Petrochemicals
DHAMPURSUG,DHAMPUR SUGAR MILLS LTD.,Sugar
DIAMINESQ,DIAMINES & CHEMICALS LTD.-$,Specialty Chemicals
ELANTAS,ELANTAS BECK INDIA LTD.-$,Commodity Chemicals
DRREDDY,DR.REDDY&#39;S LABORATORIES LTD.,Pharmaceuticals
EIDPARRY,E.I.D.-PARRY (INDIA) LTD.,Sugar
PGHL,Procter & Gamble Health Ltd,Pharmaceuticals
ELECTCAST,ELECTROSTEEL CASTINGS LTD.,Construction & Engineering
ESABINDIA,ESAB INDIA LTD.,Other Industrial Goods
ESSELPRO,ESSEL PROPACK LTD.,Containers & Packaging
ESTER,ESTER INDUSTRIES LTD.,Commodity Chemicals
FGP,FGP LTD.,Finance (including NBFCs)
PHCAP,PH CAPITAL LTD.,Comm.Trading  & Distribution
FINCABLES,FINOLEX CABLES LTD.,Other Elect.Equip./ Prod.
CMIFPE,CMI FPE LTD.-$,Industrial Machinery
UFLEX,UFLEX LTD.,Containers & Packaging
FOSECOIND,FOSECO INDIA LTD.,Commodity Chemicals
GOLDENTOBC,GOLDEN TOBACCO LTD.,Cigarettes-Tobacco Products
GANESHBE,GANESH BENZOPLAST LTD.,Commodity Chemicals
GARDENSILK,GARDEN SILK MILLS LTD.,Textiles
METROGLOBL,Metroglobal Limited,Paper & Paper Products
GTL,GTL LTD.,Other Telecom Services
GODFRYPHLP,GODFREY PHILLIPS INDIA LTD.,Cigarettes-Tobacco Products
GODREJIND,GODREJ INDUSTRIES LTD.,Commodity Chemicals
KANSAINER,KANSAI NEROLAC PAINTS LTD.,Furniture-Furnishing-Paints
GOODRICKE,GOODRICKE GROUP LTD.,Tea & Coffee
GOODYEAR,GOODYEAR INDIA LTD.,Auto Tyres & Rubber Products
GTNINDS,GTN INDUSTRIES LTD.,Textiles
GHCL,GHCL LTD.,Commodity Chemicals
GFLLIMITED,GFL Ltd,Industrial Gases
GLFL,GUJARAT LEASE FINANCING LTD.,Finance (including NBFCs)
HCL-INSYS,HCL INFOSYSTEMS LTD.,Computer Hardware
HDFCBANK,HDFC Bank Ltd,Banks
HEROMOTOCO,HERO MOTOCORP LTD.,2/3 Wheelers
HFCL,HFCL Ltd,Telecom Cables
HSCL,Himadri Speciality Chemical Ltd,Specialty Chemicals
HCC,HINDUSTAN CONSTRUCTION CO.LTD.,Construction & Engineering
HINDOILEXP,HINDUSTAN OIL EXPLORATION CO.LTD.,Exploration & Production
HSIL,HSIL LTD.,Containers & Packaging
HINDZINC,HINDUSTAN ZINC LTD.,Zinc
NXTDIGITAL,Nxtdigital Ltd,Broadcasting & Cable TV
HMT,HMT LTD.,Commercial Vehicles
PRAGBOS,PRAG BOSIMI SYNTHETICS LTD.,Textiles
HLVLTD,HLV Ltd,Hotels
IGPL,I G PETROCHEMICALS LTD.,Commodity Chemicals
INDIAGLYCO,INDIA GLYCOLS LTD.,Commodity Chemicals
INDLEASE,INDIA LEASE DEVELOPMENT LTD.,Finance (including NBFCs)
MARGOFIN,Margo Finance Limited,Finance (including NBFCs)
INDORAMA,INDO RAMA SYNTHETICS (INDIA) LTD.,Textiles
INFY,INFOSYS LTD.,IT Consulting & Software
INGERRAND,INGERSOLL-RAND (INDIA) LTD.,Industrial Machinery
INSILCO,INSILCO LTD.,Other Industrial Goods
IFSL,INTEGRATED FINANCIAL SERVICES LTD.,Finance (including NBFCs)
ITHL,INTERNATIONAL TRAVEL HOUSE LTD.-$,Travel Support Services
IONEXCHANG,ION EXCHANGE (INDIA) LTD.-$,Industrial Machinery
ATFL,AGRO TECH FOODS LTD.,Other Agricultural Products
JISLJALEQS,JAIN IRRIGATION SYSTEMS LTD.,Plastic Products
JASCH,JASCH INDUSTRIES LTD.,Textiles
JCTLTD,JCT LTD.,Textiles
JINDALPOLY,JINDAL POLY FILMS LTD.,Commodity Chemicals
JSWSTEEL,JSW STEEL LTD.,Iron & Steel/Interm.Products
UMANGDAIR,UMANG DAIRIES LTD.,Packaged Foods
KAJARIACER,KAJARIA CERAMICS LTD.,Furniture-Furnishing-Paints
KAKATCEM,KAKATIYA CEMENT SUGAR & INDUSTRIES LTD.,Cement & Cement Products
KSL,KALYANI STEELS LTD.,Iron & Steel/Interm.Products
KANELIND,Kanel Industries Limited,Comm.Trading  & Distribution
WHIRLPOOL,WHIRLPOOL OF INDIA LTD.,Consumer Electronics
KGDENIM,KG DENIM LTD.,Textiles
KINETICENG,KINETIC ENGINEERING LTD.,2/3 Wheelers
KIRLOSBROS,KIRLOSKAR BROTHERS LTD.-$,Industrial Machinery
KIRLOSIND,Kirloskar Industries Ltd,Industrial Machinery
KIRLFER,KIRLOSKAR FERROUS INDUSTRIES LTD.,Iron & Steel/Interm.Products
ENVAIREL,ENVAIR ELECTRODYNE LTD.,Industrial Machinery
KOTAKBANK,KOTAK MAHINDRA BANK LTD.,Banks
MAVIIND,MAVI INDUSTRIES LTD.,Plastic Products
KSB,KSB Ltd,Industrial Machinery
LGBBROSLTD,L.G.BALAKRISHNAN & BROS.LTD.,Auto Parts & Equipment
TRENT,TRENT LTD.,Specialty Retail
LAXMIMACH,LAKSHMI MACHINE WORKS LTD.,Industrial Machinery
LICHSGFIN,LIC HOUSING FINANCE LTD.,Housing Finance 
UTTAMVALUE,UTTAM VALUE STEELS LTD.,Iron & Steel/Interm.Products
LUPIN,LUPIN LTD.,Pharmaceuticals
LYKALABS,LYKA LABS LTD.,Pharmaceuticals
RAMCOCEM,The Ramco Cements Limited,Cement & Cement Products
MAFATIND,MAFATLAL INDUSTRIES LTD.-$,Textiles
MAHSEAMLES,MAHARASHTRA SEAMLESS LTD.,Construction & Engineering
MAHSCOOTER,MAHARASHTRA SCOOTERS LTD.,Investment Companies
MAJESAUT,MAJESTIC AUTO LTD.-$,2/3 Wheelers
MANALIPETC,MANALI PETROCHEMICAL LTD.,Petrochemicals
MFSL,Max Financial Services Ltd,Life Insurance
MESPHAR-B,MESCO PHARMACEUTICALS LTD.,Pharmaceuticals
MIDINDIA,MID INDIA INDUSTRIES LTD.,Textiles
MIRCELECTR,MIRC ELECTRONICS LTD.,Consumer Electronics
CENTENKA,CENTURY ENKA LTD.,Textiles
LORDSCHLO,LORDS CHLORO ALKALI LTD.,Commodity Chemicals
SPICEJET,SPICEJET LTD.,Airlines
MOREPENLAB,MOREPEN LABORATORIES LTD.,Pharmaceuticals
MRF,MRF LTD.,Auto Tyres & Rubber Products
HEIDELBERG,HEIDELBERGCEMENT INDIA LTD.,Cement & Cement Products
NCC,NCC Limited,Construction & Engineering
VEDL,Vedanta Limited,Aluminium
NAHARSPING,NAHAR SPINNING MILLS LTD.,Textiles
NATPEROX,NATIONAL PEROXIDE LTD.,Commodity Chemicals
GRASIM,GRASIM INDUSTRIES LTD.,Cement & Cement Products
PEL,PIRAMAL ENTERPRISES LTD.,Pharmaceuticals
NIITLTD,NIIT LTD.,IT Training Services
JAYKAY,JAYKAY ENTERPRISES LTD.,Finance (including NBFCs)
NIRLON,NIRLON LTD.,Diversified Commercial Services
ONGC,OIL AND NATURAL GAS CORPORATION LTD.,Exploration & Production
OILCOUNTUB,OIL COUNTRY TUBULAR LTD.,Oil Equipment & Services
ORIENTHOT,ORIENTAL HOTELS LTD.,Hotels
OSWALAGRO,OSWAL AGRO MILLS LTD.,Investment Companies
INDSUCR,INDIAN SUCROSE LTD.,Sugar
RELIANCE,RELIANCE INDUSTRIES LTD.,Integrated Oil & Gas
PILITA,Pil Italica Lifestyle Ltd,Plastic Products
PENTAGRAPH,PENTAMEDIA GRAPHICS LTD.,Movies & Entertainment
RAYMOND,RAYMOND LTD.,Textiles
PIDILITIND,PIDILITE INDUSTRIES LTD.,Specialty Chemicals
PIXTRANS,PIX TRANSMISSIONS LTD.,Auto Tyres & Rubber Products
BIRLACORPN,BIRLA CORPORATION LTD.,Cement & Cement Products
SURYAROSNI,SURYA ROSHNI LTD.,Diversified
PRIMESECU,PRIME SECURITIES LTD.,Other Financial Services
PRSMJOHNSN,Prism Johnson Ltd,Cement & Cement Products
RAIN,Rain Industries Ltd,Petrochemicals
AMJLAND,AMJ Land Holdings Ltd,Realty
PUNJCOMMU,PUNJAB COMMUNICATIONS LTD.-$,Telecom Equipment
RSWM,RSWM LTD.,Textiles
RAJSREESUG,RAJSHREE SUGARS & CHEMICALS LTD.,Sugar
RALLIS,RALLIS INDIA LTD.,Agrochemicals
RAMANEWS,SHREE RAMA NEWSPRINT LTD.,Paper & Paper Products
RAMAPPR-B,RAMA PAPER MILLS LTD.,Paper & Paper Products
RAMAPETRO,RAMA PETROCHEMICALS LTD.,Finance (including NBFCs)
RAPICUT,RAPICUT CARBIDES LTD.,Industrial Machinery
WELSPLSOL,Welspun Specialty Solutions Ltd,Iron & Steel/Interm.Products
ROLTA,ROLTA INDIA LTD.,Internet Software & Services
RUBFILA,RUBFILA INTERNATIONAL LTD.,Auto Tyres & Rubber Products
RUCHISOYA,RUCHI SOYA INDUSTRIES LTD.,Edible Oils
SALORAINTL,SALORA INTERNATIONAL LTD.,Comm.Trading  & Distribution
JINDALSAW,JINDAL SAW LTD.,Construction & Engineering
JKLAKSHMI,JK LAKSHMI CEMENT LTD.,Cement & Cement Products
SHREECEM,SHREE CEMENT LTD.,Cement & Cement Products
SKPMIL,SHREE KRISHNA PAPER MILLS & INDUSTRIES LTD.,Paper & Paper Products
RELINFRA,RELIANCE INFRASTRUCTURE LTD.,Electric Utilities
STEELCO,STEELCO GUJARAT LTD.,Iron & Steel/Interm.Products
TATAPOWER,TATA POWER CO.LTD.,Electric Utilities
SPMLINFRA,SPML Infra Limited,Construction & Engineering
SUNDRMFAST,SUNDRAM FASTENERS LTD.,Auto Parts & Equipment
SUNFLAG,SUNFLAG IRON & STEEL CO.LTD.,Iron & Steel/Interm.Products
SUPPETRO*,SUPREME PETROCHEM LTD.,Petrochemicals
SWARAJENG,SWARAJ ENGINES LTD.,Auto Parts & Equipment
TATAELXSI,TATA ELXSI LTD.,IT Software Products
ACC,ACC LTD.,Cement & Cement Products
THERMAX,THERMAX LTD.,Heavy Electrical Equipment
TIRUMALCHM,THIRUMALAI CHEMICALS LTD.,Commodity Chemicals
THOMASCOOK,THOMAS COOK (INDIA) LTD.,Travel Support Services
TIMEX,TIMEX GROUP INDIA LTD.-$,Other Apparels & Accessories
TOKYOPLAST,TOKYO PLAST INTERNATIONAL LTD.,Plastic Products
TORNTPHARM,TORRENT PHARMACEUTICALS LTD.,Pharmaceuticals
TRANSCHEM,TRANSCHEM LTD.-$,Pharmaceuticals
AMBUJACEM,AMBUJA CEMENTS LTD.,Cement & Cement Products
UTLINDS,UTL Industries Limited,Realty
UNIPHOS,UNIPHOS ENTERPRISES LTD.,Comm.Trading  & Distribution
VHL,VARDHMAN HOLDINGS LTD.,Finance (including NBFCs)
HINDALCO,HINDALCO INDUSTRIES LTD.,Aluminium
WSTCSTPAPR,WEST COAST PAPER MILLS LTD.,Paper & Paper Products
HOCL,HINDUSTAN ORGANIC CHEMICALS LTD.,Commodity Chemicals
MPILCORPL,MPIL CORPORATION LTD.,Other Financial Services
PASUPTAC,PASUPATI ACRYLON LTD.,Fibres & Plastics
KORE,Kore Foods Ltd,Other Food Products
PGHH,PROCTER & GAMBLE HYGIENE & HEALTH CARE LTD.,Personal Products
